course_order_result,races,avg_payout,max_payout
3-1-5,56,11366.785714285714,34940.0
5-1-2,53,15951.88679245283,84540.0
1-5-2,52,10067.115384615385,39970.0
4-2-1,51,16975.686274509804,61850.0
2-3-1,49,11643.469387755102,51900.0
4-1-5,48,12833.541666666666,33810.0
2-1-5,47,10527.234042553191,54940.0
5-1-3,45,18314.88888888889,148590.0
3-2-1,45,14732.222222222223,76280.0
2-4-1,44,13881.818181818182,54730.0
4-3-5,43,21635.81395348837,63810.0
1-5-3,43,9333.953488372093,29890.0
3-1-4,42,9622.380952380952,24820.0
1-6-2,41,11073.170731707318,32270.0
1-5-4,41,9440.731707317073,26180.0
3-1-2,41,8783.414634146342,17980.0
2-1-3,40,11184.25,48210.0
3-4-2,39,18220.76923076923,96610.0
2-3-4,39,16765.897435897437,61730.0
3-4-1,39,14444.358974358975,103640.0
1-5-6,39,11193.846153846154,41610.0
3-2-4,38,16063.421052631578,95210.0
1-6-3,37,13313.783783783783,88910.0
3-5-4,36,24391.38888888889,103490.0
4-3-1,35,17395.714285714286,92120.0
3-4-5,35,11563.714285714286,24780.0
1-4-2,35,7875.428571428572,25880.0
4-2-5,34,15486.470588235294,46020.0
4-1-2,34,13630.882352941177,40370.0
5-4-1,33,30213.636363636364,150310.0
4-1-6,33,15256.969696969696,109280.0
2-1-4,33,7758.787878787879,19620.0
3-2-5,32,19610.0,112760.0
5-1-4,32,16351.875,56300.0
1-4-6,32,9331.875,49280.0
5-1-6,31,28194.1935483871,259950.0
2-3-5,31,18526.129032258064,85490.0
5-2-1,31,14579.677419354839,49520.0
3-5-1,30,17127.333333333332,88170.0
4-2-3,29,19633.103448275862,47200.0
4-5-1,29,14286.551724137931,100190.0
4-2-6,28,25633.214285714286,132000.0
4-5-3,28,23125.35714285714,112320.0
2-4-3,28,15563.214285714286,87650.0
3-5-2,27,23562.222222222223,112070.0
2-4-6,26,20664.615384615383,96380.0
3-4-6,26,16490.0,119170.0
1-6-4,26,14289.615384615385,34060.0
1-2-6,26,10133.076923076924,19930.0
2-5-4,25,23872.8,86620.0
2-5-1,25,21000.0,67210.0
4-5-6,25,16010.4,61110.0
4-1-3,25,15478.4,74010.0
1-3-5,25,9181.2,22420.0
5-4-6,24,33552.083333333336,148600.0
4-6-2,24,32177.5,164980.0
3-6-1,24,24646.25,77370.0
3-2-6,24,19581.666666666668,105330.0
2-1-6,24,10468.333333333334,24630.0
5-2-3,23,42914.782608695656,336710.0
5-6-1,23,34295.217391304344,126470.0
1-6-5,23,15129.565217391304,65140.0
4-3-2,22,33472.27272727273,188190.0
2-4-5,22,21100.0,113730.0
2-3-6,22,18960.0,53200.0
3-1-6,22,12180.90909090909,26720.0
1-2-5,22,9595.454545454546,23010.0
1-4-3,22,8780.454545454546,16310.0
2-5-3,21,23509.52380952381,81970.0
1-3-6,21,12707.142857142857,38320.0
4-3-6,20,44397.5,345080.0
2-6-1,20,26439.0,87670.0
5-6-4,18,39427.77777777778,128560.0
3-6-4,18,34505.0,144070.0
6-1-2,18,31983.88888888889,101240.0
1-4-5,18,9411.111111111111,19730.0
4-6-1,17,23592.941176470587,80410.0
3-5-6,17,17436.470588235294,52960.0
5-3-1,16,34630.0,186160.0
2-5-6,16,32857.5,103500.0
5-3-2,16,30824.375,182690.0
4-5-2,16,23570.625,177670.0
5-4-2,15,22920.666666666668,67770.0
1-3-4,15,7156.666666666667,13450.0
4-6-5,14,31288.571428571428,109140.0
5-2-6,14,28575.0,84170.0
5-2-4,14,21963.571428571428,56340.0
2-6-4,13,42873.846153846156,217490.0
5-3-4,13,41893.07692307692,138200.0
4-6-3,13,40657.692307692305,272180.0
6-2-1,12,43766.666666666664,159010.0
3-6-2,12,30114.166666666668,153260.0
2-6-5,12,19153.333333333332,49250.0
6-1-3,11,48617.27272727273,255000.0
1-2-3,11,7054.545454545455,11910.0
1-2-4,11,7041.818181818182,11180.0
6-2-5,10,77502.0,263570.0
5-4-3,10,49714.0,182120.0
6-1-4,10,39860.0,174640.0
3-6-5,10,20801.0,84610.0
5-6-3,10,20431.0,62290.0
1-3-2,10,6394.0,12840.0
5-6-2,9,34425.555555555555,188880.0
6-4-3,9,28977.777777777777,73040.0
6-4-5,9,21550.0,42900.0
5-3-6,8,59022.5,259060.0
2-6-3,8,53152.5,186060.0
6-5-4,7,105420.0,302410.0
6-3-2,6,115021.66666666667,292980.0
6-5-1,6,114296.66666666667,421190.0
6-3-5,6,47181.666666666664,179250.0
6-2-3,6,25808.333333333332,61560.0
6-5-2,5,49942.0,107140.0
6-3-4,5,42406.0,65130.0
6-1-5,5,28116.0,63020.0
6-3-1,5,24168.0,49930.0
6-5-3,4,119992.5,168580.0
6-4-1,4,55082.5,197260.0
6-4-2,3,27420.0,42950.0
6-2-4,3,19453.333333333332,31690.0
