stadium_number,stadium_name,high_payout_races,avg_payout,max_payout
1,桐生,208,19238.701923076922,213090.0
15,丸亀,207,19895.555555555555,186160.0
16,児島,188,17962.23404255319,259060.0
6,浜名湖,186,23275.2688172043,345080.0
10,三国,185,22293.783783783783,336710.0
9,津,180,21900.722222222223,200280.0
7,蒲郡,171,19904.269005847953,263570.0
8,常滑,169,23313.78698224852,302410.0
21,芦屋,166,21124.698795180724,188190.0
17,宮島,165,17495.454545454544,150310.0
2,戸田,162,15752.654320987655,100260.0
11,びわこ,154,20567.85714285714,179250.0
18,徳山,153,22797.777777777777,265740.0
24,大村,151,17457.01986754967,272180.0
14,鳴門,146,16135.95890410959,159280.0
3,江戸川,145,18576.689655172413,197220.0
5,多摩川,139,15848.273381294965,132320.0
23,唐津,138,23029.782608695652,209780.0
12,住之江,136,19569.04411764706,186060.0
20,若松,135,21853.333333333332,168580.0
13,尼崎,129,16599.922480620156,126470.0
4,平和島,127,14924.094488188977,66690.0
22,福岡,98,22155.61224489796,421190.0
19,下関,73,17238.08219178082,100190.0
