place1_boat_no,place1_class_label_est,races,avg_payout,max_payout,avg_motor_top2,avg_motor_top3,avg_avg_st,avg_age,avg_weight
3.0,B1,398,18758.316582914573,200280.0,31.537261306532663,46.748517587939695,0.17178391959798997,39.52261306532663,52.072110552763824
2.0,B1,349,19094.81375358166,265740.0,31.900544412607452,47.65553008595988,0.1695702005730659,41.00286532951289,52.38424068767908
1.0,B1,347,11635.475504322767,147080.0,30.551498559077814,46.29449567723343,0.17270893371757925,41.79250720461095,52.56512968299712
4.0,B1,310,23143.322580645163,272180.0,31.69674193548387,47.154548387096774,0.1696451612903226,39.23870967741936,52.093548387096774
3.0,A1,224,14647.767857142857,153260.0,33.3421875,49.04049107142857,0.14562499999999998,39.15625,51.90625
2.0,A2,216,16370.046296296296,111180.0,28.979166666666668,43.70407407407407,0.15777777777777777,38.949074074074076,51.86296296296296
4.0,A2,208,14956.923076923076,112320.0,30.913221153846152,46.345432692307696,0.15663461538461537,38.12019230769231,52.13173076923077
3.0,A2,207,12424.87922705314,84610.0,30.25719806763285,45.43323671497585,0.15458937198067632,39.492753623188406,52.14347826086957
1.0,A1,201,9143.6815920398,39970.0,30.652388059701494,46.099154228855724,0.1427860696517413,38.6318407960199,51.58805970149254
5.0,B1,192,35372.1875,259060.0,32.232760416666665,47.566875,0.16765624999999998,40.317708333333336,52.27291666666667
4.0,A1,191,17336.96335078534,83860.0,33.00785340314136,49.23560209424084,0.14251308900523563,39.15706806282723,51.561780104712035
2.0,A1,190,15306.578947368422,217490.0,32.553526315789476,49.446210526315795,0.14326315789473684,39.71578947368421,52.065263157894734
1.0,A2,179,10137.709497206704,68040.0,30.318156424581005,45.91106145251397,0.1563687150837989,39.94972067039106,52.19776536312849
5.0,A1,175,17591.77142857143,188880.0,34.01931428571429,50.53228571428571,0.1417142857142857,39.097142857142856,52.14171428571428
5.0,A2,167,23544.25149700599,182690.0,31.852694610778443,47.91101796407186,0.1555688622754491,40.778443113772454,52.45449101796407
6.0,A1,119,28143.949579831933,222920.0,31.9153781512605,47.67798319327731,0.1446218487394958,40.134453781512605,51.78991596638655
6.0,B1,84,77070.23809523809,501250.0,28.582738095238092,44.6875,0.16999999999999998,38.226190476190474,51.91904761904762
6.0,A2,73,39805.61643835616,259950.0,31.237945205479452,45.443424657534244,0.15726027397260275,37.97260273972603,51.97123287671233
2.0,B2,31,18990.322580645163,132320.0,33.02903225806452,47.62677419354839,0.1820689655172414,36.0,51.60967741935484
5.0,B2,30,33154.0,150310.0,36.736666666666665,51.666000000000004,0.18000000000000002,32.53333333333333,50.973333333333336
1.0,B2,28,11593.92857142857,43380.0,29.095357142857143,42.88642857142857,0.18384615384615385,29.571428571428573,49.91428571428571
4.0,B2,24,27204.583333333332,117330.0,32.35208333333333,45.699999999999996,0.1825,28.791666666666668,51.20416666666667
3.0,B2,22,21436.363636363636,103640.0,32.291818181818186,44.78,0.17650000000000002,33.72727272727273,51.38636363636363
6.0,B2,8,73097.5,255000.0,21.64875,31.86125,0.198,29.0,49.9
